Company,Topic,Average Sentiment,Industry Average Sentiment
AIDA,0,0.22204581178903826,0.4330458300447251
AIDA,1,0.21276546242774566,0.24785138339920948
AIDA,2,0.6811783790715568,0.680063198660247
AIDA,3,0.5049110497237569,0.575899052924791
ColorLine,0,-0.038609876543209874,0.4330458300447251
ColorLine,1,0.07995737704918032,0.24785138339920948
ColorLine,2,0.8398625,0.680063198660247
ColorLine,3,-0.21307407407407408,0.575899052924791
DFDS,0,0.5383654104979811,0.4330458300447251
DFDS,1,0.29636280848105667,0.24785138339920948
DFDS,2,0.6734504640371229,0.680063198660247
DFDS,3,0.6270520446096655,0.575899052924791
StenaLine,0,0.17012098445595855,0.4330458300447251
StenaLine,1,-0.03717522123893805,0.24785138339920948
StenaLine,2,0.689275,0.680063198660247
StenaLine,3,0.005478431372549017,0.575899052924791
